cycle,time,domain,code_chars,avg_score,distilled,fail,source
1,,JSON相关,817,,0,,file
2,,事件编程,264,,0,,file
3,,PDFCreator,1963,,0,,file
4,,二进制列,498,,0,,file
5,,PDFCreator,1572,,0,,file
6,,PDFCreator,2220,,0,,file
7,,PDFCreator,2945,,0,,file
8,,事件编程,475,,0,,file
9,,生成图表,719,,0,,file
10,,TreeView,268,,0,,file
11,,JSON相关,1091,,0,,file
12,,动态加载与SQL,997,,0,,file
13,,权限管理,169,,0,,file
14,,导入导出,1392,,0,,file
15,,动态加载与SQL,765,,0,,file
17,,JSON相关,1503,,0,,file
18,,动态加载与SQL,1006,,0,,file
19,,统计与查询,687,,0,,file
20,,TreeView,804,,0,,file
21,,统计与查询,572,,0,,file
22,,Excel报表,405,,0,,file
23,,分级数据,1483,,0,,file
24,,分级数据,1668,,0,,file
25,,分级数据,0,,0,,file
26,,分级数据,630,,0,,file
27,,分级数据,1097,,0,,file
28,,分级数据,965,,0,,file
29,,ListView,735,,0,,file
30,,生成图表,828,,0,,file
31,,专业报表,1941,,0,,file
32,,OpenQQ,987,,0,,file
33,,异步编程,936,,0,,file
34,,DataTable,251,,0,,file
35,,本地WEB,1323,,0,,file
36,,高级开发指南-HTML入门,0,,0,,file
37,,附录,1397,,0,,file
38,,OpenQQ,554,,0,,file
39,,高级开发指南-客户端类,2932,,0,,file
40,,网络相关,1062,,0,,file
41,,TreeView,0,,0,,file
42,,其他类型,465,,0,,file
43,,统计与查询,521,,0,,file
44,,协同开发,3140,,0,,file
45,,WordCreator,763,,0,,file
46,,专业报表,2561,,0,,file
47,,专业报表,0,,0,,file
49,,菜单设计,777,,0,,file
50,,JSON相关,1677,,0,,file
51,,Table,429,,0,,file
52,,高级开发指南-WeUI框架,1684,,0,,file
53,,动态加载与SQL,968,,0,,file
54,,高级开发指南-微信接口,1889,,0,,file
55,,条形码,891,,0,,file
56,,工作流,1620,,0,,file
57,,高级开发指南-微信接口,1365,,0,,file
58,,生成图表,1073,,0,,file
59,,高级开发指南-用Excel报表生成网页,647,,0,,file
60,,高级开发指南-HTML入门,0,,0,,file
61,,高级开发指南-异步编程,1940,,0,,file
62,,编程基础,383,,0,,file
63,,ListView,1048,,0,,file
64,,软件加密,840,,0,,file
65,,高级开发指南-HTML入门,2422,,0,,file
66,,Excel报表,712,,0,,file
67,,高级开发指南-用Excel报表生成网页,800,,0,,file
68,,工作流,1268,,0,,file
69,,自定义函数,764,,0,,file
70,,TreeView,515,,0,,file
71,,高级开发指南-Web数据源,1729,,0,,file
72,,软件加密,1699,,0,,file
73,,开发杂项-基础篇,1128,,0,,file
74,,Word报表,1116,,0,,file
75,,事件编程,273,,0,,file
76,,高级开发指南-WeUI框架,1764,,0,,file
77,,异步编程,742,,0,,file
78,,窗口设计,1247,,0,,file
79,,HttpClient,687,,0,,file
80,,HttpClient,1702,,0,,file
81,,PDFCreator,2224,,0,,file
82,,工作流,971,,0,,file
83,,窗口设计,1341,,0,,file
84,,大模型API,3000,,0,,file
85,,开发杂项-基础篇,1329,,0,,file
86,,条形码,1111,,0,,file
87,,协同开发,756,,0,,file
88,,导入导出,1271,,0,,file
89,,开发杂项-进阶篇,966,,0,,file
90,,其他类型,790,,0,,file
91,,OpenQQ,1030,,0,,file
92,,开发杂项-基础篇,1062,,0,,file
93,,Table,214,,0,,file
94,,票据设计,459,,0,,file
95,,开发杂项-进阶篇,1021,,0,,file
96,,自定义函数,0,,0,,file
97,,ListView,1813,,0,,file
98,,ListView,894,,0,,file
99,,DataTable,221,,0,,file
100,,开发杂项-进阶篇,926,,0,,file
101,,专业报表,2480,,0,,file
102,,开发杂项-基础篇,681,,0,,file
103,,异步编程,1195,,0,,file
104,,大模型API,0,,0,,file
105,,协同开发,738,,0,,file
106,,JSON相关,1380,,0,,file
107,,二进制列,1060,,0,,file
108,,附录,2986,,0,,file
109,,Word报表,625,,0,,file
110,,协同开发,2383,,0,,file
111,,DataTable,530,,0,,file
112,,分级数据,0,,0,,file
113,,网络相关,1398,,0,,file
114,,高级开发指南-用Excel报表生成网页,1178,,0,,file
115,,高级开发指南-WeUI框架,2070,,0,,file
116,,高级开发指南-HTML入门,1240,,0,,file
117,,高级开发指南-Web数据源,1747,,0,,file
118,,票据设计,289,,0,,file
119,,编程基础,567,,0,,file
120,,生成图表,1080,,0,,file
121,,动态加载与SQL,568,,0,,file
123,,JSON相关,1435,,0,,file
124,,事件编程,1029,,0,,file
125,,窗口设计,2327,,0,,file
126,,高级开发指南-Web数据源,1888,,0,,file
127,,权限管理,649,,0,,file
